mq1,tgs1,timestamp,day,session,species
159,330,2024-01-29 10:14:01.757587,2024-01-29,1,tuna
160,329,2024-01-29 10:14:02.973570,2024-01-29,1,tuna
159,331,2024-01-29 10:14:04.172273,2024-01-29,1,tuna
161,330,2024-01-29 10:14:05.378894,2024-01-29,1,tuna
162,328,2024-01-29 10:14:06.579083,2024-01-29,1,tuna
160,329,2024-01-29 10:14:07.782143,2024-01-29,1,tuna
156,333,2024-01-29 10:14:08.988866,2024-01-29,1,tuna
159,332,2024-01-29 10:14:10.197944,2024-01-29,1,tuna
156,332,2024-01-29 10:14:11.413495,2024-01-29,1,tuna
157,331,2024-01-29 10:14:12.616380,2024-01-29,1,tuna
162,331,2024-01-29 10:14:13.820600,2024-01-29,1,tuna
